21796388,https://en.wikipedia.org/wiki?curid=21796388,Airbag (disambiguation),Airbag is a device designed to inflate rapidly in a collision.          Airbag may also refer to:,[]
38915679,https://en.wikipedia.org/wiki?curid=38915679,Prorella protoptata,Prorella protoptata is a moth in the family Geometridae. It is found in south-western Texas.          The wingspan is about 16 mm. Adults have been recorded on wing from May to June.,"['Moths described in 1938', 'Eupitheciini']"
8154868,https://en.wikipedia.org/wiki?curid=8154868,California Plaza,California Plaza may refer to::,[]
36953812,https://en.wikipedia.org/wiki?curid=36953812,LingXi Library,"Lingxi Library is named after Professor Lingxi Qian, a well-known Chinese scientist,          educator, and academician. Specifically, he is a pioneer in computational structural          mechanics. professor Lingxi Qian had been working in Dalian University of Technology          since 1951. He died on April 20, 2009. Lingxi Library opened on November 6, 2009.          Lingxi Library is located in at the western end point of the east-west axis on the campus          of Dalian University of Technology. It is located at the core of the school.          The library is a modern and advanced library with a high degree of automation. The library integrates five book functions into one: collection, loan, reading. management, and search. This comprehensive open-shelf service management model is a place of ideology, academics, art, and culture.          The building design itself emphasizes the contrast of simple rectangular layout and clear structure. From an aesthetic point of view, it reflects simplicity and openness. The core of the building is a five story hall. It acts not only as the main body for traffic, but also as the command center of the whole library. The grand roof above the main entrance is a shelter to show care for library-users. The whole building is intended to convey that people are cared for and learning is a perpetual pursuit.          On the east side of the entrance plaza are wide pedestrian steps, green areas, flower beds, and an array of trees. The building is set in a landscape that gives a sense of spaciousness and welcome.          The outside wall consists of red brick, dark metal and tint glass. The library facade strives to find a balance point between classical and contemporary. It combines modern techniques and materials with architectural expression enhancing the image and characteristics of the core building. The construction area is 30,000 square meters. There are 3,000 seats.          The monumental bronze statue of Professor Lingxi Qian was unveiled in the library on July 16, 2012, the 96th anniversary of his birth. The sculpture is the work of sculptor Wei Deng who works in Dalian University of Technology. The statue is placed on a marble base located just inside the library.",['Libraries in China']
49350587,https://en.wikipedia.org/wiki?curid=49350587,Chamba Rumal,"The Chamba Rumal or Chamba handkerchief is an embroidered handicraft that was once promoted under the patronage of the former rulers of Chamba kingdom. It is a common item of gift during marriages with detailed patterns in bright and pleasing colour schemes.          This product has been registered for protection under the Geographical indication of the Trade Related Intellectual Property Rights (TRIPS) agreement. On 22 January 2007, it was listed as ""Chamba Rumal"" under the GI Act 1999 of the Government of India with registration confirmed by the Controller General of Patents Designs and Trademarks under Classes 24 as Textile and Textile Goods, vide application number 79.          Earliest reported form of this rumal is the one made by Bebe Nanki, sister of Guru Nanak in the 16th century, which is now preserved in the Gurudwara at Hoshiarpur. The Victoria Albert Museum, London has a rumal which was gifted to the British in 1883 by Raja Gopal Singh and it has an embroidered scene of the Kurukshetra War of the epic Mahabharta. However, from the 17th century the women of the erstwhile princely state of Chamba (now part of Himachal Pradesh), including members of the royal family, indulged in embroidery of the rumals or handkerchiefs as a part of a marriage gifts or dowry to their daughters.          The handkerchiefs were made in geometrical shapes of square and rectangle using very fine hand made silk which was obtained from the Punjab or muslin cloth, a product of Bengal. Women created highly ornamental patterns using untwined thread made of silk produced in Sialkot (in Pakistan), Amritsar and Ludhiana. The embroidery technique adopted, called the ""dohara tanka"" or double satin stitch, created distinct identical patters on both faces of the fabric, which were attractive when viewed even from distance of 10 ft and more. The ""dohara tanka"" method is a heritage of Kashmir, which was adopted in Basohli and Chamba, but was improved upon by adopting themes from the special Mughal art of Chamba miniature paintings; this art form flourished during the 18th and 19th centuries. Following the downfall of the Mughal empire many expert artists of this craft migrated to the hill region of Himachal Pradesh. Raja Umed Singh of Chamba (1748–68) patronized the artists. These artists drew the outlines of the design on the fabric to be embroidered using fine charcoal and also suggested suitable colours to be adopted on the mythological themes of Krishna's raas-leela of the epic Mahabharata, and themes from Ramayana or scenes of marriage and game hunting to be embroidered; themes also included events from Gita Govinda, Bhagvat purana or only Radha-Krishna and Shiva-Parvati. Inspiration was also provided from the frescoes done in the Rang Mahal of Chamba. The women then executed the embroidery. In early 19th century, when Maharaja Ranjit Singh ruled over the Punjab Hill States, Sikh style of painting also influenced the Chamba Rumal.          Following Indian Independence, this art work lost its royal patronage, and quality deteriorated due to commercialization by making many cheaper varieties such as table cloths, cushion covers, clothing, and even various machine made items to compete in the market with cheaper similar work from other regions.          To revive this art work, in the later part of 1970s, at the initiative of Usha Bhagat (a friend of Indira Gandhi), the DCC located the original designs of this art work from museums and collections, and women artists were then trained in this art work. As a result 16 designs have been recreated and quality restored.          Known as a ""needle wonder"" Chamba Rumal is now made in square and rectangular shapes. The materials used still consist of muslin, malmal, khaddar (a coarse fabric), fine charcoal or brush, and silk threads without knots. Using a double satin stitch for the embroidery, both faces of the cloth are concurrently stitched by a forward and backward technique to maintain uniformity of design on both faces of the rumal. After completing the embroidery, the fabric is stitched with a border of about 2 to 4 inches on all sides.          Bibliography","['Indian handicrafts', 'Culture of Himachal Pradesh', 'Economy of Himachal Pradesh', 'Embroidery in India', 'Geographical Indications in Himachal Pradesh', 'Chamba district']"
1467796,https://en.wikipedia.org/wiki?curid=1467796,Alsco 300,"The Alsco 300 is a NASCAR Xfinity Series race held at Kentucky Speedway in Sparta, Kentucky, United States. The distance of the race is 300 miles (482.803 km).          Kentucky Speedway, opened in 2000, by Jerry Carrol. Darrell Waltrip took place to design part of the racetrack.           The first Xfinity Series race was held in 2001. Brad Paisley sang the National Anthem, and then Cincinnati Bengals player Corey Dillon gave the command to start engines. This race is notable when Travis Kvapil went upside down after clipping Rich Bickle's 59 car off of Turn 2, and the car slid all the way down the backstretch in the turn three grass. Kevin Harvick won the inaugural event.          Hypermarket chain Meijer was the race's sponsor since 2003 after previous sponsorship from Outback Steakhouse and Kroger. Nabisco, through its Oreo and Ritz brands, had been an associate sponsor since the 2002 race. For 2011, the race was sponsored by the Nonprofit organization Feed The Children. Starting in 2016, the race was sponsored by Alsco.          David Gilliland, won here in an underfunded team in 2006, with 8 starts in his resume. This win gave him the ride in the 38 car in mid-2006, replacing Elliott Sadler in the 38 car.          Joey Logano is the first repeat winner and did it back to back to back from the pole.          Also, four different drivers have won at Kentucky Speedway to claim their first Nationwide Series win. David Gilliland (2006), Stephen Leicht (2007), Joey Logano (2008), and Austin Dillon (2012).","['2001 establishments in Kentucky', 'Xfinity Series races', 'NASCAR races at Kentucky Speedway', 'Recurring sporting events established in 2001']"
45129011,https://en.wikipedia.org/wiki?curid=45129011,Dolichoderus moggridgei,"Dolichoderus moggridgei is a species of ant in the genus ""Dolichoderus"". Described by Forel in 1886, the species is endemic to Afghanistan, China and India.","['Dolichoderus', 'Hymenoptera of Asia', 'Insects of Afghanistan', 'Insects of China', 'Insects of India', 'Insects described in 1886']"
373330,https://en.wikipedia.org/wiki?curid=373330,Regions of Western Finland,"The former Province of Western Finland in Finland was divided on seven regions, 34 districts and 192 municipalities.          ""Main article: Southern Ostrobothnia ""          ""Main article: Ostrobothnia Region ""          ""Main article: Pirkanmaa Region ""          ""Main article: Satakunta Region ""          ""Main article: Central Ostrobothnia Region ""          ""Main article: Central Finland Region ""          ""Main article: Southwest Finland """,['Western Finland Province']
12669763,https://en.wikipedia.org/wiki?curid=12669763,Weapon System Safety,"The United States Navy formed the Weapon System Explosives Safety Review Board (WSESRB) in 1968 as a result of the tragic fire on the USS ""Forrestal"" (CV-59). The subsequent investigation recommended an independent review process be established. The report highlighted the need to ensure explosives safety requirements are met for all munitions introduced to the Fleet.           As a result, the WSESRB was established. WSESRB participate in numerous weapons system safety-related meetings, technical reviews, and working groups.          The US Air Force and US Army have parallel boards to the Navy's WSESRB: the AF Nonnuclear Munitions Safety Board (NNMSB) and the Army Weapon Systems Safety Review Board (AWSSRB)          Safety and suitability for use in the system's predicted logistic and operational environments          DODI 5000.69. DoD Joint Services Weapon and Laser System Safety Review Processes, Nov 2011.","['United States Navy organization', 'Maritime safety organizations']"
13718267,https://en.wikipedia.org/wiki?curid=13718267,Sisters High School,"Sisters High School (SHS) is a public high school located in Sisters, Oregon, United States.          In 2008, 94% of the school's seniors received their high school diploma. Of 159 students, 149 graduated, 5 dropped out, 1 received a modified diploma, and 4 are still in high school.","['High schools in Deschutes County, Oregon', 'Educational institutions established in 2001', 'National Register of Historic Places in Deschutes County, Oregon', 'Public high schools in Oregon', '2001 establishments in Oregon', 'Sisters, Oregon']"
34221208,https://en.wikipedia.org/wiki?curid=34221208,All Girl Wrestling: Ultimate Angels,"All Girl Wrestling: Ultimate Angels is a wrestling video game originally released by Tecmo for the Super Famicom in Japan. The game was later ported to mobile phones.          The game is a standard wrestling game, where two fighters fight, grapple, and throw each other in hopes of winning a championship belt. Players can choose from one of six female wrestlers, with a seventh fighter as an unlockable bonus. Graphics are sprites on a 2D wrestling ring background.          GameSpot's Carrie Gouskos felt that the game would appeal to fans of wrestling games with an interest in fighter strategy, as gameplay rests ""entirely on how successfully you switch up your maneuvers."" She also felt that the game was ""certainly doing its part to maintain Tecmo's ""Our girls are better than your girls"" theme from E3 this year.""","['1989 video games', 'Professional wrestling games', 'Super Nintendo Entertainment System games', 'Tecmo games']"
1185689,https://en.wikipedia.org/wiki?curid=1185689,Lake Arapuni,"Lake Arapuni is one of several artificial lakes formed as part of a hydroelectricity scheme on the Waikato River in the North Island of New Zealand. It is southeast of Hamilton, to the north of Mangakino.          The dam, at the small settlement of Arapuni at the lake's northern end, was the first constructed on the Waikato, and was completed in 1929. The lake occupies an area of .",['Lakes of Waikato']
5731748,https://en.wikipedia.org/wiki?curid=5731748,Mindfulness-based cognitive therapy,"Mindfulness-based cognitive therapy (MBCT) is a psychological therapy designed to aid in preventing the relapse of depression, specifically in individuals with major depressive disorder (MDD). Its intent to address MDD specifically distinguishes MBCT from other mindfulness-based therapies such as mindfulness-based stress reduction which is applicable to a broad range of disorders, and mindfulness-based relapse prevention which is used to treat addiction.          MBCT uses traditional cognitive behavioral therapy (CBT) methods and adds in newer psychological strategies such as mindfulness and mindfulness meditation. Cognitive methods can include educating the participant about depression. Mindfulness and mindfulness meditation, focus on becoming aware of all incoming thoughts and feelings and accepting them, but not attaching or reacting to them. This process is known as ""Decentering"" and aids in disengaging from self-criticism, rumination, and dysphoric mood that can arise when reacting to negative thinking patterns.          Like CBT, MBCT functions on the theory that when individuals who have historically had depression become distressed, they return to automatic cognitive processes that can trigger a depressive episode. The goal of MBCT is to interrupt these automatic processes and teach the participants to focus less on reacting to incoming stimuli, and instead accepting and observing them without judgment. This mindfulness practice allows the participant to notice when automatic processes are occurring and to alter their reaction to be more of a reflection. It is theorized that this aspect of MBCT is responsible for the observed clinical outcomes.          Beyond its use in reducing depressive acuity, research additionally supports the effectiveness of mindfulness meditation upon reducing cravings for substances that people are addicted to. Addiction is known to involve the weakening of the prefrontal cortex that ordinarily allows for delaying of immediate gratification for longer term benefits by the limbic and paralimbic brain regions. Mindfulness meditation of smokers over a two-week period totaling five hours of meditation decreased smoking by about 60% and reduced their cravings, even for those smokers in the experiment who had no prior intentions to quit. Neuroimaging of those who practice mindfulness meditation has been shown to increase activity in the prefrontal cortex, a sign of greater self-control.          In 1991 Philip Barnard and John Teasdale created a multilevel theory of the mind called “Interacting Cognitive Subsystems,” (ICS). The ICS model is based on Barnard and Teasdale’s theory that the mind has multiple modes that are responsible for receiving and processing new information cognitively and emotionally. Barnard and Teasdale’s (1991) theory associates an individual’s vulnerability to depression with the degree to which he/she relies on only one of the modes of mind, inadvertently blocking the other modes. The two main modes of mind include the “doing” mode and “being” mode. The “doing” mode is also known as the driven mode. This mode is very goal-oriented and is triggered when the mind develops a discrepancy between how things are versus how the mind wishes things to be. The second main mode of mind is the “being” mode. “Being” mode, is not focused on achieving specific goals, instead the emphasis is on “accepting and allowing what is,” without any immediate pressure to change it. The central component of Barnard and Teasdale’s ICS is metacognitive awareness. Metacognitive awareness is the ability to experience negative thoughts and feelings as mental events that pass through the mind, rather than as a part of the self. Individuals with high metacognitive awareness are able to avoid depression and negative thought patterns more easily during stressful life situations, in comparison to individuals with low metacognitive awareness. Metacognitive awareness is regularly reflected through an individual’s ability to decenter. Decentering is the ability to perceive thoughts and feelings as both impermanent and objective occurrences in the mind.          Based on Barnard and Teasdale’s (1991) model, mental health is related to an individual’s ability to disengage from one mode or to easily move among the modes of mind. Therefore, individuals that are able to flexibly move between the modes of mind based on the conditions in the environment are in the most favorable state. The ICS model theorizes that the “being” mode is the most likely mode of mind that will lead to lasting emotional changes. Therefore, for prevention of relapse in depression, cognitive therapy must promote this mode. This led Teasdale to the creation of MBCT, which promotes the “being” mode.          This therapy was also created by Zindel Segal and Mark Williams, and was partially based on the mindfulness-based stress reduction program, developed by Jon Kabat-Zinn. Theories behind these mindfulness-based approaches to psychological issues function on the idea that being aware of things in the present, and not focusing on the past or the future, will allow the client to be more apt to deal with current stressors and distressing feelings with a flexible and accepting mindset, rather than avoiding, and, therefore, prolonging them.          The MBCT program is a group intervention that lasts eight weeks. During these eight weeks, there is a weekly course, which lasts two hours, and one day-long class after the fifth week. However, much of the practice is done outside of classes, where the participant uses guided meditations and attempts to cultivate mindfulness in their daily lives.          MBCT prioritizes learning how to pay attention or concentrate with purpose, in each moment and most importantly, without judgment. Through mindfulness, clients can recognize that holding onto some of these feelings is ineffective and mentally destructive. Mindfulness is also thought by Fulton et al. to be useful for the therapists as well during therapy sessions.          MBCT is an intervention program developed to specifically target vulnerability to depressive relapse. Throughout the program, patients learn mind management skills leading to heightened metacognitive awareness, acceptance of negative thought patterns and an ability to respond in skillful ways. During MBCT patients learn to decenter their negative thoughts and feelings, allowing the mind to move from an automatic thought pattern to conscious emotional processing. MBCT can be used as an alternative to maintenance antidepressant treatment, though it may be no more effective.          Although MBCT can be used as an alternative or adjunct therapy for depression, research shows that it is most effective with individuals who have a history of at least three or more past episodes of depression. Within that population, participants with life-event triggered depressive episodes were least receptive to MBCT. A 2016 meta-analysis found MBCT to be effective for preventing relapses of depressive episodes among those with depression, especially if they had more residual symptoms.          Research supports that MBCT results in increased self-reported mindfulness which suggests increased present-moment awareness, decentering, and acceptance, in addition to decreased maladaptive cognitive processes such as judgment, reactivity, rumination, and thought suppression.","['Cognitive therapy', 'Clinical psychology', 'Cognitive behavioral therapy', 'Mindfulness (psychology)']"
41404920,https://en.wikipedia.org/wiki?curid=41404920,Hicham Khaloua,"Hicham Khaloua (born 7 May 1995), simply known as Hicham, is a Moroccan footballer who plays for UD Almería B as a forward.          Born in San Javier, Murcia to Moroccan parents, Hicham started his youth career with local Mar Menor CF, and in 2005 he joined FC Cartagena at the age of 14. On 14 July 2011, after being linked with FC Barcelona, Real Madrid, Málaga CF, Liverpool, Manchester United and Chelsea, he went on a trial at Manchester City, but nothing came of it.          On 2 August 2011, still a junior, Hicham signed for UD Almería. He made his senior debuts with the B-team in the 2011–12 season, in Segunda División B.          On 14 July 2013 Hicham signed a new deal with the Andalusians, running until 2018. On 18 December he played his first official game with the main squad, featuring the last 32 minutes in a 0–0 home draw against UD Las Palmas for the campaign's Copa del Rey.          On 24 March 2014, aged 18, Hicham came on as a late substitute in a La Liga home fixture against Real Sociedad, and scored a last-minute 4–3 winner after just three minutes on the pitch on the day of his league debut.          Hicham was called up to the Moroccan under-20 team in April 2013, and also appeared with the nation in the 2013 Mediterranean Games, netting five times in as many matches as the tournament ended in conquest. He was also called up to the under-23s in May 2016.","['1995 births', 'Living people', 'People from San Javier, Murcia', 'Spanish people of Moroccan descent', 'Spanish footballers', 'Moroccan footballers', 'Murcian footballers', 'Association football forwards', 'La Liga players', 'Segunda Divisi\xc3\xb3n B players', 'UD Almer\xc3\xada B players', 'UD Almer\xc3\xada players', 'Moroccan expatriates in Spain', 'Morocco under-20 international footballers']"
36576243,https://en.wikipedia.org/wiki?curid=36576243,Yohanes L. G. Kabagaimu,"Yohanes Kabagaimu (born December 16, 1980) is an Indonesian footballer who currently plays for Persiwa Wamena in the Indonesia Super League.","['1980 births', 'Association football midfielders', 'Living people', 'Indonesian footballers', 'Indonesian Christians', 'Papuan sportspeople', 'Indonesia Super League players', 'Persiwa Wamena players', 'Indonesian Premier Division players', 'Perseman Manokwari players']"
17133537,https://en.wikipedia.org/wiki?curid=17133537,Blacker's Hill,"Blacker's Hill Chilcompton is an Iron Age hill fort South West of Radstock, Somerset, England. It has been designated as a Scheduled Ancient Monument.          The hill fort is roughly rectangular and is a promentary type. It covers and originally had two ramparts and two ditches, but on the west and south sides it was defended by the steep drop. In some places the ramparts survive to a considerable height but on the north east side the inner rampart and ditch have been destroyed. There are three gaps but only that on the east seems to be original.          In 1999 a geophysical survey was carried out suggesting that Blackers Hill originated as a univallate structure and was then later modified, forming a developed hill fort.          Hill forts developed in the Late Bronze and Early Iron Age, roughly the start of the first millennium BC. The reason for their emergence in Britain, and their purpose, has been a subject of debate. It has been argued that they could have been military sites constructed in response to invasion from continental Europe, sites built by invaders, or a military reaction to social tensions caused by an increasing population and consequent pressure on agriculture. The dominant view since the 1960s has been that the increasing use of iron led to social changes in Britain. Deposits of iron ore were located in different places to the tin and copper ore necessary to make bronze, and as a result trading patterns shifted and the old elites lost their economic and social status. Power passed into the hands of a new group of people. Archaeologist Barry Cunliffe believes that population increase still played a role and has stated ""[the forts] provided defensive possibilities for the community at those times when the stress [of an increasing population] burst out into open warfare. But I wouldn't see them as having been built because there was a state of war. They would be functional as defensive strongholds when there were tensions and undoubtedly some of them were attacked and destroyed, but this was not the only, or even the most significant, factor in their construction"".","['Hill forts in Somerset', 'Scheduled Ancient Monuments in Mendip', 'History of Somerset', 'Iron Age sites in Somerset']"
11389817,https://en.wikipedia.org/wiki?curid=11389817,Paul Kennerley,"Paul Kennerley is an English singer-songwriter, musician, and record producer working in the American contemporary country music industry. His works include the concept albums, ""White Mansions"" and ""The Legend of Jesse James"". He produced and co-wrote ""The Ballad of Sally Rose"" with Emmylou Harris in 1985, and was married to Harris from 1985 to 1993.          Kennerley was born in Hoylake, Merseyside, North West England in 1948. In 1976, he was living in London and working in advertising when he first heard country music, the song ""Let's All Help the Cowboys Sing the Blues"" by Waylon Jennings. ""It really excited me,"" Kennerley recalls in his artist biography for Universal Music Group. ""I immediately hunted down every Waylon record I could find.""          Kennerley quit his job in advertising and allowed himself three months to develop his talents as a songwriter.          In 1972, Kennerley recorded an album with a rock band called 'Holy Roller' at Virgin record's newly opened Manor studio, with Tom Newman (Mike Oldfield, Tubular Bells etc.) and Philip Newell, and Newman subsequently sang all the songs on the demonstration tapes of the ""White Mansions"" album.          Kennerley's first project was ""White Mansions"", a 1978 concept album set in the Confederate States of America during the American Civil War. The project was picked up by A&M Records, with Glyn Johns producing. A number of notable artists recorded the music, including Waylon Jennings, Jessi Colter, Steve Cash of the Ozark Mountain Daredevils and Eric Clapton.          In 1980, a second concept album was released, ""The Legend of Jesse James"", which featured more notable artists, including Johnny Cash, Emmylou Harris, Charlie Daniels, Albert Lee and Levon Helm.          Neither ""White Mansions"" nor ""Jesse James"" were commercially successful, but they did establish Kennerley as a serious songwriter. Among his early compositions was ""Born to Run"", which Emmylou Harris recorded in 1981 for her album, ""Cimarron"", and she continues to frequently perform the song in her concerts.          Kennerly continued to live in London while he wrote songs, but, in 1983, moved to Nashville, Tennessee, where he started working with Harris on her semi-autobiographical concept album, ""The Ballad of Sally Rose"", co-writing and producing the album. Kennerley also collaborated with Harris on her albums ""Thirteen"" and ""Bluebird"", and writing the songs ""In My Dreams"" and ""Heartbreak Hill"". He married Harris in 1985, but the couple divorced in 1993.          Kennerley also wrote songs for The Judds (""Young Love"", ""One Man Woman"", ""Let Me Tell You About Love"", ""Cry Myself to Sleep"", ""Have Mercy"" and ""Give a Little Love""), Marty Stuart (""Hillbilly Rock"", ""Western Girls"", ""Tempted"", ""Till I Found You"", ""Little Things""), Tanya Tucker (""Walking Shoes""), Sweethearts of the Rodeo (""Chains of Gold""), Patty Loveless (""Blue Memories""), Juice Newton (""Tell Me True""), The Everly Brothers as well as Carla Olson & John York (First In Line).          Kennerley was named Broadcast Music Incorporated Writer of the Year in 1989. He also released a solo album in 1998 entitled, ""Misery With a Beat"".","['1948 births', 'Living people', 'British expatriates in the United States', 'English country singer-songwriters', 'English guitarists', 'English record producers', 'People from Hoylake', 'People from Nashville, Tennessee']"
21823534,https://en.wikipedia.org/wiki?curid=21823534,Guéhiébly,"Guéhiébly is a town in western Ivory Coast. It is a sub-prefecture of Duékoué Department in Guémon Region, Montagnes District.          Guéhiébly was a commune until March 2012, when it became one of 1126 communes nationwide that were abolished.","['Populated places in Montagnes District', 'Sub-prefectures of Gu\xc3\xa9mon', 'Former communes of Ivory Coast', 'Populated places in Gu\xc3\xa9mon']"
774939,https://en.wikipedia.org/wiki?curid=774939,Smarty,"Smarty is a web template system written in PHP. Smarty is primarily promoted as a tool for separation of concerns.          Smarty is intended to simplify compartmentalization, allowing the front-end of a web page to change separately from its back-end. Ideally, this lowers costs and minimizes the efforts associated with software maintenance.          Smarty generates web content through the placement of special ""Smarty tags"" within a document. These tags are processed and substituted with other code. Tags are directives for Smarty that are enclosed by template delimiters. These directives can be variables, denoted by a dollar sign ($), functions, logical or loop statements. Smarty allows PHP programmers to define custom functions that can be accessed using Smarty tags.          Since Smarty separates PHP from HTML, there are two files — one contains the presentation code: an HTML template, including Smarty variables and tags - - which might look like this:          The business logic to use the Smarty template above could be as follows:","['Free software programmed in PHP', 'Template engines']"
1732858,https://en.wikipedia.org/wiki?curid=1732858,Lanesfield,"Lanesfield is a district now within the boundaries of Wolverhampton, specifically in the city council's Spring Vale ward. Lanesfield lies within the Ancient Manor of Sedgley and was a rural village for many years until the growth of the Black Country's industries. Lanesfield's name originates from the Lane family who lived where the area now stands. Originally, Lanesfield was known as Lane's Field.          During the 19th century, many houses were built in Lanesfield, particularly in Wood Street, following the industrialisation of the eastern side of the Sedgley district. Many coal mines began to appear around Lanesfield. Two miners' cottages still exist in nearby Parkfields, and are now located on the A4123 Birmingham New Road, built in 1927.          In the 1890s, because it was situated in the eastern area of Sedgley, Lanesfield was separated when the Urban District of Coseley was formed, dividing the old Manor of Sedgley in two. The Birmingham New Road was cut through the area and many new houses (private and council) were built around it soon afterwards.          Following World War II, Coseley Urban District Council built hundreds of new homes in Lanesfield.          Today, the district is mainly a residential area.           Lanesfield, together with the surrounding areas of Parkfield and Ettingshall Park, was incorporated into the Borough of Wolverhampton in 1966 when the Urban District of Coseley was abolished and the former Manor of Sedgley split between authorities.          The first school to be built in Lanesfield was Wood Street School, an infant and junior school which was opened in 1879. The old school was demolished nearly 100 years later after the construction of the new Lanesfield Primary School, a larger building in nearby Newman Avenue, which opened on 30 April 1962. The old school was still being used until December 1968 to further accommodate children on the eastern side of the Birmingham New Road from numerous new houses built at the time.          In the early 1950s, another school was built in the western part of Lanesfield - Hill Avenue Primary School. This was for the children on the western side of the Birmingham New Road.          Lanesfield featured in local news on 25 May 2013, when around 60 members of the English Defence League including leader, Tommy Robinson, blocked the Birmingham New Road at its junction with Spring Road and Rookery Road following the murder of Lee Rigby in Woolwich on 22 May 2013.",['Areas of Wolverhampton']
4959521,https://en.wikipedia.org/wiki?curid=4959521,Jeßnitz,"Jeßnitz is a town and a former municipality in the district of Anhalt-Bitterfeld, in Saxony-Anhalt, Germany. It is situated on the river Mulde, north of Bitterfeld. Since 1 January 2010, it is part of the town Raguhn-Jeßnitz.",['Towns in Saxony-Anhalt']
30003742,https://en.wikipedia.org/wiki?curid=30003742,Chester House,"Chester House (February 1, 1995 – June 28, 2003) was an American-bred Thoroughbred racehorse and sire. In his racing career, he ran in both Europe and North America, winning six races, most notably the Arlington Million as a five-year-old in 2000. Following his retirement, he showed promise as a stallion before dying at the age of eight.          Chester House was a dark bay horse bred by his owner, Khalid Abdullah's Juddmonte Farms breeding operation. He was sired by Mr. Prospector and out of the El Gran Senor mare Toussaud and was his dam's first foal. Toussaud later produced Belmont Stakes winner Empire Maker. Chester House was sent to be trained in England by Henry Cecil at his Warren Place stable in Newmarket, Suffolk.          Chester House started his record in England with a win in his first outing. He then won the class B Rosehill at Doncaster, the class A Steventon at Newbury and the class A Huxley at Chester. He recorded his first group race in the Group Three Brigadier Gerard Stakes by five lengths. After about three showings in four more graded stakes in England, his connections entered him in the 1999 Breeders' Cup Classic. Before the race, he was relocated to the United States to be trained by Robert Frankel. Chester House had no previous experience on dirt, stumbled at the start and was last for almost half of the race. He then made steady progress to finish fourth, less than three lengths behind the winner, Cat Thief. After the Classic, he remained in the United States to compete in turf races. After losing his first six starts, he won the Grade 1 Arlington Million by three lengths with Jerry Bailey riding. His connections then retired him and sent him to stud at the U.S. division of Juddmonte Farms.          Chester House showed promise as a sire of winners in a brief stud career. Most notable of his offspring is the champion mare Ventura, who won the 2008 Breeders' Cup Filly & Mare Sprint and the 2009 Woodbine Mile against colts along with several other Grade 1 wins. Ventura earned over $2 million. Chester House had a second Breeders’ Cup winner in the colt Muhannak, who won the 2008 Breeders’ Cup Marathon and was a Grade 3 winner in Ireland. Chester House's other winners included grade 1 winner Divine Park; the multiple grade 2 winner Spring House (who raced for 5 seasons); grade 2 winner Warning Zone; and grade 3 winner Stonehouse, along with many more minor stakes winners. Standing at $25,000 for a guaranteed live foal, Chester House offered the Mr. Prospector blood line at a much lower price than similar stallions like Kingmambo or Fusaichi Pegasus.          In May 2003, Chester House’s handlers noticed that he wasn’t doing well. A vet visit showed he was anaemic and had contracted pneumonia. Further test showed these were secondary sicknesses as he had developed a type of cancer called Myelodysplastic Syndrome. Chemotherapy began at once in order to save his life, but the illness progressed so rapidly that Juddmonte Farms managers decided to euthanise the horse on June 28, 2003.","['Thoroughbred racehorses', '1995 racehorse births', '2003 racehorse deaths', 'Thoroughbred family 6-d']"
7850722,https://en.wikipedia.org/wiki?curid=7850722,Ordon,Ordon may refer to:,[]
36478682,https://en.wikipedia.org/wiki?curid=36478682,Bob Wilson (singer),"Bob Wilson (born c.1940) was a singer, guitarist and songwriter from Pleasant Hill, California. He released three singles on the Hollywood-based label Era in 1960, including the original version of ""(And Her Name Is) Scarlet"", a song that later became popular in Australia.          Wilson was a member of the Pleasant Hill High School Big Band, which held its debut concert in February 1959. A review in the ""Oakland Tribune"" mentioned soloists who included Wilson on guitar, Loren Council on alto saxophone, and Len Adams on trumpet.          On Wilson's first single, released early in the following year, Adams played piano and Council played saxophone. Both sides, ""Two Little Birds"" and ""Imogene"", were written by Adams and Wilson. By this time, according to ""The Oakland Tribune"", Wilson was a 19-year-old psychology major at College of the Pacific, Adams was studying at Diablo Valley College, and Council was still in high school.          The A-side of Wilson's third single, ""(And Her Name Is) Scarlet"" was later recorded by Australian duo The De Kroo Brothers and became a hit single in Australia in 1963, especially in the cities of Sydney (#4), Brisbane (#1), and Perth (#5). This song was written by Era co-founder Herb Newman, under the pseudonym Steven Howard.          ""(And Her Name Is) Scarlet"" was also recorded by Keith Colley (also on Era, 1962), Johnny Burnette (1964, originally unreleased), and another Australian duo, The Brothers LeGard (also on Era, 1968).","['People from Contra Costa County, California', 'Singers from California', 'Songwriters from California', 'American guitarists']"
